attachmentId,internalType,currentDisplayName,verifiedExactName,verificationStatus,rule,evidence,provenance,pointCosts,compatibleWeaponCount,conflictingSourceNames,sharedDisplayName,notes
buckshot,ammo,#01 BUCK,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,,4,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
buckshot_00,ammo,#00 BUCK,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,,4,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
flechette,ammo,Flechette,Flechette,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,4,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
frangible,ammo,Frangible,Frangible,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,57,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
hollow_pt,ammo,Hollow Point,Hollow Point,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,52,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
lightweight,ammo,Lightweight,,UNVERIFIED,independent-source-conflict,single-source,upstream-dataset,,29,,,"Independent Battlefield 6 attachment guides describe the lightweight / ADS-move-speed ammunition as ""Polymer Case"" rather than ""Lightweight"". The mechanic matches this record (adsMoveSpeedTierShift favouring ADS movement), so the identity is not in doubt - only the display string. No replacement name is asserted here because the conflicting source is secondary."
long_range,ammo,Long-Range,Long-Range,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,8,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
penetration,ammo,Penetration,Penetration,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,57,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
range_pen,ammo,Range Pen,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
slugs,ammo,Slugs,Slugs,SOURCE_CORROBORATED,corroborated-verbatim-source,corroborated,upstream-dataset | class-audit:shotgun-audit,,4,,,"Independently corroborated by class-audit:shotgun-audit, class-audit:shotgun-audit, class-audit:shotgun-audit, class-audit:shotgun-audit. | No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
standard,ammo,Standard,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,,57,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
subsonic,ammo,Subsonic,Subsonic,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,15,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
subsonic_hp,ammo,Sub HP,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,,15,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
subsonic_pen,ammo,Sub Pen,,UNVERIFIED,abbreviated-source-string,single-source,upstream-dataset,,1,,,"The source string is visibly abbreviated or inconsistently cased relative to the rest of the catalog, so it cannot be certified as the exact in-game label."
synthetic,ammo,Synthetic,Synthetic,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,,18,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
basic,barrel,Basic,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,10,54,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
cryo,barrel,Cryogenic,Cryogenic,SOURCE_CORROBORATED,verbatim-pinned-source,single-source,upstream-dataset,20,19,,,"No in-game string extraction exists in this repository, so this name is not promoted to GAME_VERIFIED_EXACT."
ext_light,barrel,Extended Light,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,25,1,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
extended,barrel,Extended,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,5,43,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
heavy,barrel,Heavy,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,10,22,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
heavy_ext,barrel,Heavy Extended,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,10,20,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
light,barrel,Light,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,20,39,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
none,barrel,None,,INTERNAL_PLACEHOLDER,empty-slot-state,single-source,upstream-dataset,0,0,,true,"UI empty-slot state, not a Battlefield 6 attachment."
short,barrel,Short,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,15,29,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
short_light,barrel,Short Light,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,25,1,,,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
vssm_suppressed,barrel,Suppressed,,INTERNAL_PLACEHOLDER,generic-tier-label,single-source,upstream-dataset,30,1,,true,"Bare category/tier descriptor consumed by the tier-modifier model, not a Battlefield 6 product name."
