attachmentId,internalType,currentDisplayName,status,appearancesInRecommendedBuilds,compatibleWeaponCount,captureOn,requiresTierAmbiguityAck,note
"50mw_violet","laser","50 MW Violet","SOURCE_CORROBORATED",344,55,"nvo228e|m123k|l110",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"sp_brake","muzzle","Single-Port Brake","SOURCE_CORROBORATED",269,39,"nvo228e|l110|kord6p67",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"standard","ammo","Standard","INTERNAL_PLACEHOLDER",257,57,"nvo228e|m123k|l110",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"lp_stubby","grip","Low-Profile Stubby","SOURCE_CORROBORATED",186,46,"nvo228e|m123k|l110",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"extended","barrel","Extended","INTERNAL_PLACEHOLDER",171,43,"sv98|m2010esr|lmr27",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"var_high","sight","Variable High","INTERNAL_PLACEHOLDER",131,0,"m2010esr|lmr27|sor556",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"heavy_ext","barrel","Heavy Extended","INTERNAL_PLACEHOLDER",115,20,"m123k|l110|sor556",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"var_low","sight","Variable Low","INTERNAL_PLACEHOLDER",102,0,"kord6p67|sv98|sor556",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"iron","sight","Iron Sights","INTERNAL_PLACEHOLDER",92,7,"nvo228e|m123k|sor556",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"classic_vert","grip","Classic Vertical","SOURCE_CORROBORATED",83,46,"sor556|l85a3|m277",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"penetration","ammo","Penetration","SOURCE_CORROBORATED",74,57,"sv98|m2010esr|lmr27",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"std_optic","sight","Standard Optic","INTERNAL_PLACEHOLDER",59,7,"l110|b36a4|m277",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"10_rnd","mag","10 Rnd","UNVERIFIED",54,9,"sv98|lmr27|m417a2",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"mag_catch","ergo","Improved Mag Catch","SOURCE_CORROBORATED",53,27,"sl9|tr7|sg553r",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"15_rnd","mag","15 Rnd","UNVERIFIED",52,9,"m277|miniscout|tr7",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"20_fast","mag","20 Fast","UNVERIFIED",41,22,"nvo228e|sor556|b36a4",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"30_rnd","mag","30 Rnd","UNVERIFIED",40,32,"kord6p67|ak205|sl9",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"dp_brake","muzzle","Double-Port Brake","SOURCE_CORROBORATED",37,47,"m123k|b36a4|m417a2",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"mag_flare","ergo","Magwell Flare","SOURCE_CORROBORATED",37,12,"l110|sor556|ak205",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"50_rnd","mag","50 Rnd","UNVERIFIED",37,9,"m250|usg90",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
"heavy","barrel","Heavy","INTERNAL_PLACEHOLDER",36,22,"kord6p67|ak205|pw7a2",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"bipod_sr","grip","Bipod","SOURCE_CORROBORATED",35,7,"sv98|m2010esr|miniscout",false,"Source string is plausible verbatim; the capture confirms or corrects it."
"light","barrel","Light","INTERNAL_PLACEHOLDER",27,39,"lmr27|miniscout|m2010esr",true,"Generic tier/category label. A capture must affirm acknowledgesTierAmbiguity:true, i.e. that it names THIS catalogue entry rather than one member of the category it stands for."
"buckshot","ammo","#01 BUCK","UNVERIFIED",27,4,"m1014|m87a1|185ksk",false,"Source string is abbreviated or contested; the in-game string is likely to differ, so this capture may also correct the display name."
